id,performa
78,Baik
371,Baik
248,Tidak Baik
55,Baik
390,Tidak Baik
223,Baik
42,Baik
234,Tidak Baik
316,Tidak Baik
116,Baik
9,Baik
209,Tidak Baik
323,Baik
393,Baik
258,Baik
155,Tidak Baik
124,Tidak Baik
272,Baik
324,Baik
334,Tidak Baik
15,Baik
391,Baik
167,Baik
0,Tidak Baik
140,Tidak Baik
113,Baik
77,Baik
33,Baik
101,Baik
76,Baik
307,Tidak Baik
375,Baik
291,Baik
356,Baik
90,Tidak Baik
384,Tidak Baik
137,Tidak Baik
57,Baik
73,Baik
25,Tidak Baik
72,Tidak Baik
145,Baik
329,Baik
141,Tidak Baik
158,Baik
93,Baik
46,Baik
304,Baik
108,Baik
196,Baik
